id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,adminLevel,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,displacementReason,numberMales,numberFemales,idpOriginAdmin1Name,idpOriginAdmin1Pcode,assessmentType,operationStatus
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,389281,2014-12-01T00:00:00,2014,12,1,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1188018,2015-02-01T00:00:00,2015,2,2,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,148484,2015-02-28T00:00:00,2015,2,2,Conflict,56946,91538,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1491706,2015-04-01T00:00:00,2015,4,3,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,147285,2015-04-30T00:00:00,2015,4,3,Conflict,56467,90818,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1385298,2015-06-01T00:00:00,2015,6,4,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,111141,2015-06-30T00:00:00,2015,6,4,Conflict,41704,69437,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2150451,2015-08-01T00:00:00,2015,8,5,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,167851,2015-08-30T00:00:00,2015,8,5,Conflict,74386,87940,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2233506,2015-10-01T00:00:00,2015,10,6,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,189011,2015-10-30T00:00:00,2015,10,6,Conflict,82285,106726,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2151979,2015-12-01T00:00:00,2015,12,7,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,162667,2015-12-30T00:00:00,2015,12,7,Conflict,65216,97451,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2241484,2016-02-01T00:00:00,2016,2,8,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,186268,2016-02-28T00:00:00,2016,2,8,Conflict,84109,102159,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,200085,2016-04-30T00:00:00,2016,4,9,Conflict,92836,107249,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2155618,2016-04-30T00:00:00,2016,4,9,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,279782,2016-06-30T00:00:00,2016,6,10,Conflict,121751,158031,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2066783,2016-06-30T00:00:00,2016,6,10,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2093030,2016-08-30T00:00:00,2016,8,11,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,318645,2016-08-30T00:00:00,2016,8,11,Conflict,137541,181104,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1822541,2016-10-01T00:00:00,2016,10,12,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,398749,2016-10-30T00:00:00,2016,10,12,Conflict,174983,223766,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1770444,2016-11-01T00:00:00,2016,11,13,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1770444,2016-11-30T00:00:00,2016,11,13,Conflict,786841,983603,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1899830,2017-01-01T00:00:00,2017,1,14,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1899830,2017-01-30T00:00:00,2017,1,14,Conflict,841852,1057978,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1811663,2017-03-30T00:00:00,2017,3,15,Conflict,809547,1002116,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1832743,2017-03-31T00:00:00,2017,3,15,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1884331,2017-04-30T00:00:00,2017,4,16,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1883224,2017-04-30T00:00:00,2017,4,16,Conflict,833523,1049701,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1107,2017-04-30T00:00:00,2017,4,16,Natural disaster,454,653,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1825053,2017-06-30T00:00:00,2017,6,17,Conflict,810809,1014244,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,268,2017-06-30T00:00:00,2017,6,17,Natural disaster,111,157,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1825321,2017-06-30T00:00:00,2017,6,17,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1757288,2017-08-01T00:00:00,2017,8,18,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1756181,2017-08-30T00:00:00,2017,8,18,Conflict,783438,972743,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1107,2017-08-30T00:00:00,2017,8,18,Natural disaster,454,653,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1713771,2017-10-01T00:00:00,2017,10,19,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1713771,2017-10-30T00:00:00,2017,10,19,Conflict,766379,947392,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1702680,2017-12-01T00:00:00,2017,12,20,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1702680,2017-12-30T00:00:00,2017,12,20,Conflict,756527,946153,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1780988,2018-02-28T00:00:00,2018,2,21,Conflict,799674,981314,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1502,2018-02-28T00:00:00,2018,2,21,Natural disaster,708,794,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1782490,2018-02-28T00:00:00,2018,2,21,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1688423,2018-04-30T00:00:00,2018,4,22,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1881198,2018-04-30T00:00:00,2018,4,22,Conflict,846651,1034547,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2017,2018-04-30T00:00:00,2018,4,22,Conflict; Insecurity; Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,137535,2018-04-30T00:00:00,2018,4,22,Conflict; Insecurity,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,50780,2018-04-30T00:00:00,2018,4,22,Insecurity,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2443,2018-04-30T00:00:00,2018,4,22,Conflict; Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1917188,2018-06-30T00:00:00,2018,6,23,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1320,2018-06-30T00:00:00,2018,6,23,Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1918508,2018-06-30T00:00:00,2018,6,23,Conflict,858911,1059597,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1923638,2018-08-30T00:00:00,2018,8,24,Conflict,871903,1051735,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,3110,2018-08-30T00:00:00,2018,8,24,Natural disaster,1266,1844,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1925763,2018-08-30T00:00:00,2018,8,24,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,985,2018-08-30T00:00:00,2018,8,24,Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1770900,2018-10-30T00:00:00,2018,10,25,Insecurity,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,68814,2018-10-30T00:00:00,2018,10,25,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,4840,2018-10-30T00:00:00,2018,10,25,Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,679,2018-10-30T00:00:00,2018,10,25,Conflict; Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,154072,2018-10-30T00:00:00,2018,10,25,Conflict; Insecurity,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2017607,2018-10-30T00:00:00,2018,10,25,Conflict,918638,1098969,Not available,Not available,SA,Active
